id,Programa ,Área
1,Doctorado en Ingeniería - Ciencia y Tecnología de Materiales,Área de Mecánica y Mecatrónica
2,Doctorado en Ingeniería - Industria y Organizaciones,Área de Sistemas e Industrial
3,Doctorado en Ingenieria - Ingeniería Civil,Área de Civil y Agrícola
4,Doctorado en Ingeniería - Ingeniería Eléctrica,Área de Eléctrica y Electrónica
5,Doctorado en Ingeniería - Ingeniería Mecánica y Mecatrónica,Área de Mecánica y Mecatrónica
6,Doctorado en Ingeniería - Ingeniería Química,Área de Química y Ambiental
7,Doctorado en Ingeniería - Sistemas y Computación,Área de Sistemas e Industrial
8,Especialización en Estructuras,Área de Civil y Agrícola
9,Especialización en Gobierno Electrónico,Área de Sistemas e Industrial
10,Especialización en Iluminación Pública y Privada,Área de Eléctrica y Electrónica
11,"Especialización en Tránsito, Diseño y Seguridad Vial",Área de Civil y Agrícola
12,Maestría en Bioinformatica - Investigación,Área de Sistemas e Industrial
13,Maestría en Bioinformatica - Profundización,Área de Sistemas e Industrial
14,Maestría en Ingeniería - Automatización Industrial - Investigación,Área de Eléctrica y Electrónica
15,Maestría en Ingeniería - Automatización Industrial - Profundización,Área de Eléctrica y Electrónica
16,Maestría en Ingeniería - Estructuras - Investigación,Área de Civil y Agrícola
17,Maestría en Ingeniería - Estructuras - Profundización,Área de Civil y Agrícola
18,Maestría en Ingeniería - Geotecnia - Investigación,Área de Civil y Agrícola
19,Maestría en Ingeniería - Geotecnia - Profundización,Área de Civil y Agrícola
20,Maestría en Ingeniería - Ingeniería Agrícola - Investigación,Área de Civil y Agrícola
21,Maestría en Ingeniería - Ingeniería Agrícola - Profundización,Área de Civil y Agrícola
22,Maestría en Ingeniería - Ingeniería Ambiental - Investigación,Área de Química y Ambiental
23,Maestría en Ingeniería - Ingeniería Ambiental - Profundización,Área de Química y Ambiental
24,Maestría en Ingeniería - Ingeniería de Sistemas y Computación - Investigación,Área de Sistemas e Industrial
25,Maestría en Ingeniería - Ingeniería de Sistemas y Computación - Profundización,Área de Sistemas e Industrial
26,Maestría en Ingeniería - Ingeniería Eléctrica - Investigación,Área de Eléctrica y Electrónica
27,Maestría en Ingeniería - Ingeniería Eléctrica - Profundización,Área de Eléctrica y Electrónica
28,Maestría en Ingeniería - Ingeniería Electrónica - Investigación,Área de Eléctrica y Electrónica
29,Maestría en Ingeniería - Ingeniería Electrónica - Profundización,Área de Eléctrica y Electrónica
30,Maestría en Ingeniería - Ingeniería Química - Investigación,Área de Química y Ambiental
31,Maestría en Ingeniería - Ingeniería Química - Profundización,Área de Química y Ambiental
32,Maestría en Ingeniería - Materiales y Procesos - Investigación,Área de Mecánica y Mecatrónica
33,Maestría en Ingeniería - Recursos Hidráulicos - Investigación,Área de Civil y Agrícola
34,Maestría en Ingeniería - Recursos Hidráulicos - Profundización,Área de Civil y Agrícola
35,Maestría en Ingeniería - Telecomunicaciones - Investigación,Área de Sistemas e Industrial
36,Maestría en Ingeniería - Telecomunicaciones - Profundización,Área de Sistemas e Industrial
37,Maestría en Ingeniería - Transporte - Investigación,Área de Civil y Agrícola
38,Maestría en Ingeniería - Transporte - Profundización,Área de Civil y Agrícola
39,Maestría en Ingeniería Industrial - Investigación,Área de Sistemas e Industrial
40,Maestría en Ingeniería Industrial - Profundización,Área de Sistemas e Industrial
41,Maestría en Ingeniería Mecánica - Investigación,Área de Mecánica y Mecatrónica
42,Maestría en Ingeniería Mecánica - Profundización,Área de Mecánica y Mecatrónica
